dId,dName,dWebAddress,dPhoneNumber,dEmailAddress,dstreet,dCity,dZipcode,dState,E_Id
1,da,d1.com,12345,d1@gmail.com,s1,c1,1001,st1,2001
2,db,d2.com,2345,d2@gmail.com,s2,c2,1002,st1,2002
3,dc,d3.com,4567,d3@gmail.com,s3,c3,1001,st1,2003
4,dd,d4.com,5678,d4@gmail.com,s4,c4,1002,st1,2004
5,de,d5.com,6789,d5@gmail.com,s5,c1,1003,st1,2005
6,df,d6.com,8901,d6@gmail.com,s1,c1,1004,st2,2006
7,dg,d7.com,9901,d7@gmail.com,s1,c2,1001,st2,2007
8,dh,d8.com,9902,d8@gmail.com,s2,c3,1002,st2,2008
9,di,d9.com,9903,d9@gmail.com,s3,c2,1003,st2,2009
10,dk,d10.com,9905,d10@gmail.com,s4,c3,1004,st2,2010
